logged_at_utc,received_at_utc,mqtt_device_id,topic,boot_count,reset_reason,rssi_dbm,free_heap_bytes,min_free_heap_bytes,largest_free_block_bytes,fragmentation_pct,free_drop_pct,min_drop_pct,largest_drop_pct,alert
2026-09-08T23:09:13.755883+00:00,2026-09-08T23:09:12.957529+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:10:13.759334+00:00,2026-09-08T23:10:13.487622+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:11:13.761597+00:00,2026-09-08T23:11:01.853744+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:12:13.761898+00:00,2026-09-08T23:12:02.343707+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:13:13.758917+00:00,2026-09-08T23:13:02.844698+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:14:13.759749+00:00,2026-09-08T23:14:03.395458+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:15:13.754825+00:00,2026-09-08T23:15:03.907477+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:16:13.756266+00:00,2026-09-08T23:16:04.324775+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:17:13.763544+00:00,2026-09-08T23:17:02.810457+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:18:13.760397+00:00,2026-09-08T23:18:02.371437+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-37,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:19:13.753596+00:00,2026-09-08T23:19:02.717938+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:20:13.763921+00:00,2026-09-08T23:20:02.519096+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:21:13.761870+00:00,2026-09-08T23:21:03.026031+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:22:13.764580+00:00,2026-09-08T23:22:03.527845+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:23:13.764128+00:00,2026-09-08T23:23:12.845535+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,69896,56408,53236,23.84,1.73,0.0,0.0,OK
2026-09-08T23:24:13.760921+00:00,2026-09-08T23:24:13.292278+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:25:13.752415+00:00,2026-09-08T23:25:01.709252+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:26:13.765377+00:00,2026-09-08T23:26:02.233163+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:27:13.757381+00:00,2026-09-08T23:27:02.749033+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:28:13.760597+00:00,2026-09-08T23:28:03.181337+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,69896,56408,53236,23.84,1.73,0.0,0.0,OK
2026-09-08T23:29:13.765460+00:00,2026-09-08T23:29:03.693587+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:30:13.756862+00:00,2026-09-08T23:30:04.203580+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:31:13.754800+00:00,2026-09-08T23:31:04.705897+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:32:13.763580+00:00,2026-09-08T23:32:05.238278+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:33:13.760462+00:00,2026-09-08T23:33:05.651603+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-45,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:34:13.755719+00:00,2026-09-08T23:34:06.162939+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:35:13.760177+00:00,2026-09-08T23:35:06.686314+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-38,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:36:13.761581+00:00,2026-09-08T23:36:07.207666+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:37:13.757167+00:00,2026-09-08T23:37:07.710354+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,69896,56408,53236,23.84,1.73,0.0,0.0,OK
2026-09-08T23:38:13.761502+00:00,2026-09-08T23:38:08.151673+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-42,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:39:13.762109+00:00,2026-09-08T23:39:08.665609+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-42,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:40:13.756099+00:00,2026-09-08T23:40:09.268042+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-41,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:41:13.756335+00:00,2026-09-08T23:41:09.693173+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-40,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:42:13.756689+00:00,2026-09-08T23:42:10.208402+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-42,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:43:13.760328+00:00,2026-09-08T23:43:10.657146+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-43,69896,56408,53236,23.84,1.73,0.0,0.0,OK
2026-09-08T23:44:13.762896+00:00,2026-09-08T23:44:11.167382+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:45:13.760712+00:00,2026-09-08T23:45:11.664183+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:46:13.753641+00:00,2026-09-08T23:46:12.182317+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-54,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:47:13.764940+00:00,2026-09-08T23:47:12.695613+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-52,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:48:13.751030+00:00,2026-09-08T23:48:13.223537+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-52,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:49:13.762682+00:00,2026-09-08T23:49:13.657502+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69896,56408,53236,23.84,1.73,0.0,0.0,OK
2026-09-08T23:50:13.762992+00:00,2026-09-08T23:50:02.067174+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-54,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:51:13.759222+00:00,2026-09-08T23:51:02.589518+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:52:13.758981+00:00,2026-09-08T23:52:03.033536+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-51,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:53:13.762608+00:00,2026-09-08T23:53:03.532058+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,70216,56408,53236,24.18,1.28,0.0,0.0,OK
2026-09-08T23:54:13.765239+00:00,2026-09-08T23:54:04.033982+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-52,69908,56408,53236,23.85,1.71,0.0,0.0,OK
2026-09-08T23:55:13.755582+00:00,2026-09-08T23:55:04.556460+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-08T23:56:13.753245+00:00,2026-09-08T23:56:05.078908+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-08T23:57:13.754678+00:00,2026-09-08T23:57:05.508957+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,69908,53036,53236,23.85,1.71,5.98,0.0,OK
2026-09-08T23:58:13.755772+00:00,2026-09-08T23:58:06.012066+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-08T23:59:13.759468+00:00,2026-09-08T23:59:06.529337+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:00:13.752227+00:00,2026-09-09T00:00:07.043209+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,69864,53036,53236,23.8,1.77,5.98,0.0,OK
2026-09-09T00:01:13.766579+00:00,2026-09-09T00:01:07.569155+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70216,53036,53236,24.18,1.28,5.98,0.0,OK
